t,p,median,mean
10,10,-9.536743e-06,1.0184725e-06
10,20,-2.4795532e-05,1.2143473e-06
10,30,-2.2888184e-05,8.74129e-06
10,40,-3.4332275e-05,8.0270336e-05
10,50,-5.531311e-05,9.601405e-05
35,10,0.015481949,0.017327238
35,20,0.007183075,0.0076622167
35,30,0.0016040802,0.0012848035
35,40,-0.0018186569,-0.0012704215
35,50,-0.006334305,-0.004291807
50,10,-0.04067421,-0.028786657
50,20,0.047714233,0.060308367
50,30,0.021333694,0.029806938
50,40,0.0069770813,0.00796491
50,50,-2.670288e-05,-3.883332e-06
75,10,0.026769638,0.026954046
75,20,0.009548187,0.010244326
75,30,0.0020389557,0.002373573
75,40,-0.0015907288,-0.0018315056
75,50,-0.0027008057,-0.0032075492
